,Original Query,Intermediate Query hi,Back Translated Query,Intent
4201,tell me to take out the trash in an hour,मुझे एक घंटे में कचरा बाहर निकालने के लिए कहो,Tell me to take out the trash in an hour,reminder_update
4202,make me a reminder that tommorow is trash day,मुझे याद दिला दो कि कल कचरा दिवस है,remind me tomorrow is trash day,reminder_update
4203,set a reminder for me to call my brother at 8 pm,मेरे लिए रात 8 बजे अपने भाई को कॉल करने के लिए रिमाइंडर सेट करें,Set a reminder for me to call my brother at 8 PM,reminder_update
4204,could you make me a reminder to do the floors,क्या आप मुझे फर्श बनाने के लिए एक अनुस्मारक बना सकते हैं,can you send me a reminder to mop the floor,reminder_update
4205,can i set a reminder,क्या मैं रिमाइंडर सेट कर सकता हूँ,Can I set a reminder,reminder_update
4206,make a reminder to work out at the gym,जिम में कसरत करने के लिए अनुस्मारक बनाएं,Create reminders to workout at the gym,reminder_update
4207,set a reminder to go grocery shopping,किराने की खरीदारी के लिए रिमाइंडर सेट करें,Set reminders for grocery shopping,reminder_update
4208,remind me to take the chicken out in a hour,मुझे एक घंटे में चिकन बाहर ले जाने की याद दिलाओ,Remind me to take the chicken out in an hour,reminder_update
4209,remind me,मुझे याद दिलाएं,remind me,reminder_update
4210,create a reminder for me to exercise this week,इस सप्ताह व्यायाम करने के लिए मेरे लिए एक अनुस्मारक बनाएं,Create a reminder for me to exercise this week,reminder_update
4211,please remind me of something,कृपया मुझे कुछ याद दिलाओ,please remind me of something,reminder_update
4212,please give me a reminder,कृपया मुझे याद दिलाइये,remind me please,reminder_update
4213,set a reminder to go check the mail,मेल चेक करने के लिए रिमाइंडर सेट करें,Set a reminder to check mail,reminder_update
4214,i need a reminder to remind me to do something,मुझे कुछ करने के लिए याद दिलाने के लिए एक अनुस्मारक की आवश्यकता है,I need a reminder to remind me to do something,reminder_update
4215,how about a reminder,एक अनुस्मारक के बारे में क्या ख्याल है?,How about a reminder?,reminder_update
4216,dont forget to set a reminder to pay the bills,बिलों का भुगतान करने के लिए रिमाइंडर सेट करना न भूलें,Don’t forget to set reminders to pay bills,reminder_update
4217,set a reminder to feed the dogs,कुत्तों को खाना खिलाने के लिए रिमाइंडर सेट करें,Set reminders to feed the dogs,reminder_update
4218,"new reminder, please",कृपया नया अनुस्मारक भेजें,Please send a new reminder,reminder_update
4219,set up a reminder that i need to pay my car ins the 23rd,एक अनुस्मारक सेट करें कि मुझे 23 तारीख को अपनी कार का भुगतान करना होगा,Set a reminder that I have to make my car payment on the 23rd,reminder_update
4220,i need to make a reminder please,मुझे एक अनुस्मारक बनाने की आवश्यकता है कृपया,I need to create a reminder please,reminder_update
4221,remind me again please,कृपया मुझे फिर से याद दिलाएं,please remind me again,reminder_update
4222,remind me to bring a jacket in tomorrow,मुझे कल जैकेट लाने की याद दिलाना,remind me to bring a jacket tomorrow,reminder_update
4223,"the next time it rains, remind me to close the windows",अगली बार जब बारिश हो तो मुझे खिड़कियाँ बंद करने की याद दिलाना,Remind me to close the windows next time it rains,reminder_update
4224,make a reminder for me to do my resume,मुझे अपना रिज्यूमे बनाने के लिए एक रिमाइंडर बनाओ,Make me a reminder to create my resume,reminder_update
4225,make a reminder to do my taxes,मेरे करों का भुगतान करने के लिए एक अनुस्मारक बनाएं,Create a reminder to pay my taxes,reminder_update
4226,set a reminder for me to do this in a bit,मुझे यह काम थोड़ी देर में करने के लिए रिमाइंडर सेट करें,Set a reminder for me to do this in a little while,reminder_update
4227,make reminder to pay rent on the 30th of every month,हर महीने की 30 तारीख को किराया देने का रिमाइंडर बनाएं,Set a reminder to pay rent on the 30th of every month,reminder_update
4228,make a reminder to change the cat litter,बिल्ली का कूड़ा बदलने के लिए अनुस्मारक बनाएं,Create a reminder to change the cat litter,reminder_update
4229,i want you to remind me of something,मैं चाहता हूँ कि तुम मुझे कुछ याद दिलाओ,I want you to remind me of something,reminder_update
4230,make a reminder to give the cat her flea medicine,बिल्ली को पिस्सू की दवा देने के लिए उसे याद दिलाएँ,Remind your cat to give him flea medication,reminder_update
4231,remind me to call bob,मुझे बॉब को कॉल करने की याद दिलाओ,remind me to call bob,reminder_update
4232,can you set me a reminder,क्या आप मुझे एक अनुस्मारक सेट कर सकते हैं,can you set me a reminder,reminder_update
4233,set a reminder for my doctors appointment,अपने डॉक्टर की नियुक्ति के लिए अनुस्मारक सेट करें,Set reminders for your doctor's appointments,reminder_update
4234,create a reminder for me to send flowers to my mom for mother's day,मातृ दिवस पर मेरी माँ को फूल भेजने के लिए मेरे लिए एक अनुस्मारक बनाएँ,Create a reminder for me to send flowers to my mom on Mother's Day,reminder_update
4235,set a reminder for monday pay taxes,सोमवार को कर भुगतान हेतु अनुस्मारक सेट करें,Set a reminder for tax payment on Monday,reminder_update
4236,set reminder to prepare for my meeting at 10 am,सुबह 10 बजे की मीटिंग की तैयारी के लिए रिमाइंडर सेट करें,Set a reminder to prepare for a 10 am meeting,reminder_update
4237,please remind me later,कृपया मुझे बाद में याद दिलाना,please remind me later,reminder_update
4238,make me a reminder about booking it,मुझे इसकी बुकिंग के बारे में एक अनुस्मारक बनाओ,Give me a reminder to book it,reminder_update
4239,remember to remind me of this later,बाद में मुझे यह याद दिलाना याद रखना,remember to remind me of this later,reminder_update
4240,please remind me to take out the trash,कृपया मुझे कचरा बाहर निकालने की याद दिलाएं,please remind me to take out the trash,reminder_update
4241,remind me tommorow at 3pm i have a doctors appointment,मुझे याद दिलाना कल दोपहर 3 बजे मेरी डॉक्टर से अपॉइंटमेंट है,Remind me I have a doctor's appointment tomorrow at 3 PM,reminder_update
4242,set a new reminder for tomorrow at 4am,कल सुबह 4 बजे के लिए नया रिमाइंडर सेट करें,Set a new reminder for tomorrow at 4 AM,reminder_update
4243,create a reminder to pay taxes on monday,सोमवार को करों का भुगतान करने के लिए अनुस्मारक बनाएं,Create a reminder to pay taxes on Monday,reminder_update
4244,please reminder for car meet,कृपया कार मीट के लिए अनुस्मारक दें,Please give reminder for car meet,reminder_update
4245,i need to set a reminder to go to the post office,मुझे पोस्ट ऑफिस जाने के लिए रिमाइंडर सेट करना है,I want to set a reminder to go to the post office,reminder_update
4246,set reminder pay taxes on monday,सोमवार को करों का भुगतान करने के लिए अनुस्मारक सेट करें,Set a reminder to pay taxes on Monday,reminder_update
4247,dont let me forget to do that thing later,मुझे बाद में वह काम करना मत भूलना,don't forget to do that later,reminder_update
4248,set a reminder for later,बाद के लिए रिमाइंडर सेट करें,Set a reminder for later,reminder_update
4249,remind me to take out the trash,मुझे कचरा बाहर निकालने की याद दिलाओ,remind me to take out the trash,reminder_update
4250,"i'd like to rent a limo in las vegas from may 01, 2019 to may 03, 2019",मैं 01 मई 2019 से 03 मई 2019 तक लास वेगास में एक लिमो किराए पर लेना चाहता हूं,"I want to rent a limo in Las Vegas from May 01, 2019 to May 03, 2019",car_rental
4251,is it possible to rent a car from laguardia from tuesday to friday,क्या मंगलवार से शुक्रवार तक लैगार्डिया से कार किराए पर लेना संभव है,Is it possible to rent a car from Laguardia from Tuesday to Friday,car_rental
4252,i need a rental car for sfo from friday to saturday,मुझे शुक्रवार से शनिवार तक एसएफओ के लिए किराये की कार चाहिए,I need a rental car for SFO from Friday to Saturday,car_rental
4253,are there any places nearby i can rent a car at,क्या आस-पास कोई ऐसी जगह है जहाँ मैं कार किराये पर ले सकूँ,Is there a place nearby where I can rent a car,car_rental
4254,could i rent a car in seattle from next monday to thursday please,क्या मैं अगले सोमवार से गुरुवार तक सिएटल में एक कार किराये पर ले सकता हूँ?,Can I rent a car in Seattle next Monday through Thursday?,car_rental
4255,i'd like to find a place that rents flashy sports cars in tampa,मैं टैम्पा में एक ऐसी जगह ढूँढना चाहता हूँ जहाँ आकर्षक स्पोर्ट्स कारें किराए पर मिलती हों,I'm looking for a place in Tampa that rents exotic sports cars,car_rental
4256,i need you to get me a rental car in nashville,मुझे नैशविले में एक किराये की कार दिलाने की जरूरत है,I need to get a rental car in Nashville,car_rental
4257,i want to rent a car in boise from april 12-15,मैं 12-15 अप्रैल तक बोइस में एक कार किराए पर लेना चाहता हूं,I am looking to rent a car in Boise from April 12-15,car_rental
4258,can you help me with a rental car,क्या आप मुझे किराये की कार दिलाने में मदद कर सकते हैं,can you help me get a rental car,car_rental
4259,please check if i can do a car rental from charlotte douglas airport from monday to wednesday,कृपया जाँच करें कि क्या मैं सोमवार से बुधवार तक चार्लोट डगलस हवाई अड्डे से कार किराए पर ले सकता हूँ,Please check if I can rent a car from Charlotte Douglas Airport from Monday to Wednesday,car_rental
4260,i'll require a rental car from 3/6 - 3/19 in san jose,मुझे सैन जोस में 3/6 - 3/19 तक किराये की कार की आवश्यकता होगी,I will need a rental car in San Jose from 3/6 - 3/19,car_rental
4261,i will need a rental car since i'm going to travel to new york,मुझे किराये की कार की आवश्यकता होगी क्योंकि मैं न्यूयॉर्क की यात्रा करने जा रहा हूँ,I will need a rental car because I am going to travel to New York,car_rental
4262,help me to book a car rental in sacremento,मुझे सैक्रेमेंटो में कार किराए पर लेने में मदद करें,Help me rent a car in Sacramento,car_rental
4263,on may 12 to may 16 can i get a car from aiken,12 मई से 16 मई तक क्या मुझे ऐकेन से कार मिल सकती है,From May 12 to May 16 can I get a car from Aiken,car_rental
4264,"can you see if i can rent a car from dallas on the dates of march 1, 2019 to march 3, 2019",क्या आप देख सकते हैं कि क्या मैं 1 मार्च 2019 से 3 मार्च 2019 की तारीखों पर डलास से कार किराए पर ले सकता हूं,"Can you check if I can rent a car from Dallas on dates from March 1st, 2019 to March 3rd, 2019",car_rental
4265,i need to rent a car in boston for march 2 until march 4,मुझे 2 मार्च से 4 मार्च तक के लिए बोस्टन में एक कार किराये पर लेनी है,I need to rent a car in Boston from March 2nd to March 4th,car_rental
4266,where can i rent a car soon,मैं जल्द ही एक कार कहाँ किराये पर ले सकता हूँ,where can i rent a car soon,car_rental
4267,will car rentals be available in boston from march 2 to march 4,क्या बोस्टन में 2 मार्च से 4 मार्च तक कार किराये पर उपलब्ध होगी?,Will car rentals be available in Boston from March 2nd to March 4th?,car_rental
4268,i need to find a rental car since i'm travelling to new york tomorrow,मुझे किराये की कार ढूंढनी है क्योंकि मैं कल न्यूयॉर्क जा रहा हूँ,I need to find a rental car because I'm going to New York tomorrow,car_rental
4269,please help me book a rental car for nashville,कृपया मुझे नैशविले के लिए किराये की कार बुक करने में मदद करें,Please help me book a rental car for Nashville,car_rental
4270,"can you help me book a bmw suv for march 2 to 6th, dallas texas","क्या आप मुझे 2 से 6 मार्च, डलास टेक्सास के लिए बीएमडब्ल्यू एसयूवी बुक करने में मदद कर सकते हैं?","Can you help me book a BMW SUV for March 2nd-6th, Dallas Texas?",car_rental
4271,help me secure a car rental out of reagan international airport from march 22-30,22-30 मार्च तक रीगन अंतर्राष्ट्रीय हवाई अड्डे से बाहर कार किराए पर लेने में मेरी मदद करें,Help me rent a car out of Reagan International Airport March 22-30,car_rental
4272,"will you help me rent a car from march 2 to 6th in dallas i want a bmw suv, if possible","क्या आप मुझे 2 से 6 मार्च तक डलास में कार किराए पर लेने में मदद करेंगे? मुझे एक बीएमडब्ल्यू एसयूवी चाहिए, यदि संभव हो तो?","Will you help me rent a car in Dallas from March 2 to 6? I want a BMW SUV, if possible?",car_rental
4273,id like a rental car in denver colorado between january 1st and january 3rd and id like a ford if possible,मुझे 1 जनवरी से 3 जनवरी के बीच डेनवर कोलोराडो में किराये की कार चाहिए और यदि संभव हो तो मुझे फोर्ड चाहिए,I need a rental car in Denver Colorado between January 1st and January 3rd and I want a Ford if possible,car_rental
4274,"i want to rent the cheapest car for charlottesville, virginia for march 7th through 10th, that's monday, tuesday, wednesday and thursday","मैं 7 से 10 मार्च तक चार्लोट्सविले, वर्जीनिया के लिए सबसे सस्ती कार किराए पर लेना चाहता हूं, जो सोमवार, मंगलवार, बुधवार और गुरुवार है","I am looking for the cheapest car rental to Charlottesville, Virginia from March 7th to 10th which is Monday, Tuesday, Wednesday, and Thursday",car_rental
4275,i need to do a car rental,मुझे एक कार किराये पर लेनी है,I would like to rent a car,car_rental
4276,i need to rent a car in chicago but don't know how,मुझे शिकागो में एक कार किराये पर लेनी है लेकिन मुझे नहीं पता कि कैसे?,I need to rent a car in Chicago but I don't know how?,car_rental
4277,will you help me reserve a rental car for my trip to dallas,क्या आप मुझे डलास की यात्रा के लिए किराये की कार आरक्षित करने में मदद करेंगे?,Will you help me reserve a rental car for my trip to Dallas?,car_rental
4278,please book a car for me in bangkok,कृपया मेरे लिए बैंकॉक में एक कार बुक करें,Please book a car for me in Bangkok,car_rental
4279,is there a car rental available from tuesday to thursday out of lax,क्या मंगलवार से गुरुवार तक लैक्स के बाहर कोई कार किराये पर उपलब्ध है,Are there any car rentals available outside LAX Tuesday through Thursday,car_rental
4280,will i be able to rent a car in boston from march 2 to march 4,क्या मैं 2 मार्च से 4 मार्च तक बोस्टन में कार किराए पर ले पाऊंगा?,Will I be able to rent a car in Boston from March 2 to March 4?,car_rental
4281,please look up if i can rent a car in houston from march 25 to march 29,कृपया देखें कि क्या मैं 25 मार्च से 29 मार्च तक ह्यूस्टन में कार किराये पर ले सकता हूँ?,Please see Can I rent a car in Houston from March 25 to March 29?,car_rental
4282,could i rent a car out of dallas from april 1-10,क्या मैं 1-10 अप्रैल तक डलास से कार किराये पर ले सकता हूँ?,Can I rent a car from Dallas April 1-10?,car_rental
4283,i'd like to rent a vehicle from nov 1st to nov 15th in san antonio and i need a 15 passenger van,मैं 1 नवंबर से 15 नवंबर तक सैन एंटोनियो में एक वाहन किराए पर लेना चाहता हूं और मुझे 15 यात्रियों वाली वैन चाहिए,I am looking to rent a vehicle in San Antonio from November 1 to November 15 and I need a 15 passenger van,car_rental
4284,how can i rent a car in boston,मैं बोस्टन में कार कैसे किराये पर ले सकता हूँ?,How do I rent a car in Boston?,car_rental
4285,can you help me with seattle car rental bookings,क्या आप मुझे सिएटल कार किराये की बुकिंग में मदद कर सकते हैं,Can you help me book a Seattle car rental,car_rental
4286,"i will be in aiken on may 12 to may 16, i need to rent a car","मैं 12 मई से 16 मई तक ऐकेन में रहूंगा, मुझे कार किराये पर लेनी होगी","I will be in Aiken from May 12th to May 16th, I need to rent a car",car_rental
4287,could i rent a car from tuesday to thursday out of lax,क्या मैं मंगलवार से गुरुवार तक लैक्स से कार किराये पर ले सकता हूँ?,Can I rent a car from LAX Tuesday through Thursday?,car_rental
4288,i would like some help getting a rental car reserved in los angeles,मैं लॉस एंजिल्स में एक किराये की कार आरक्षित करवाने में कुछ मदद चाहूंगा,I'd like some help reserving a rental car in Los Angeles,car_rental
4289,can i get a jeep to rent in bangor from the first of the month to a week after the first,क्या मुझे महीने की पहली तारीख से लेकर पहली तारीख के एक सप्ताह बाद तक बैंगोर में जीप किराये पर मिल सकती है?,Can I rent a Jeep in Bangor from the 1st of the month until one week after the 1st?,car_rental
4290,"in nashville, i need a rental car booked","नैशविले में, मुझे एक किराये की कार बुक करनी है",I need to book a rental car in Nashville,car_rental
4291,find me a rental car from 3/6 - 3/9 in port charles,मुझे 3/6 - 3/9 पोर्ट चार्ल्स में किराये की कार खोजें,Find me a rental car in Port Charles 3/6 - 3/9,car_rental
4292,is it possible to rent a car from new york on 3/2/19 to 3/5/19,क्या 3/2/19 से 3/5/19 तक न्यू यॉर्क से कार किराए पर लेना संभव है,Is it possible to rent a car from New York from 3/2/19 to 3/5/19,car_rental
4293,help me get a rental car,मुझे किराये की कार दिलाने में मदद करें,Help me find a rental car,car_rental
4294,can i rent a car in belgium from march 01 to march 02 and have it be a porsche,क्या मैं 01 मार्च से 02 मार्च तक बेल्जियम में एक कार किराए पर ले सकता हूं और यह एक पोर्श हो सकता है,Can I rent a car in Belgium from March 01 to March 02 and it can be a Porsche,car_rental
4295,i want to rent a car in boston for march 2 until march 4,मैं 2 मार्च से 4 मार्च तक के लिए बोस्टन में एक कार किराए पर लेना चाहता हूं,I want to rent a car in Boston from March 2nd to March 4th,car_rental
4296,a rental car needs to be booked in nashville,नैशविले में किराये की कार बुक करनी होगी,Must book a rental car in Nashville,car_rental
4297,i want a bmw suv for march 2 to 6th in dallas,मुझे 2 से 6 मार्च तक डलास में एक बीएमडब्ल्यू एसयूवी चाहिए,I want a BMW SUV in Dallas March 2-6,car_rental
4298,please help me book a rental car in appleton,कृपया मुझे एप्पलटन में किराये की कार बुक करने में मदद करें,Please help me book a rental car in Appleton,car_rental
4299,help me book a rental car in green bay,ग्रीन बे में किराये की कार बुक करने में मेरी मदद करें,Help me book a rental car in Green Bay,car_rental
4300,what is the amount of vacation days i have left,मेरे पास कितने दिन की छुट्टियाँ बची हैं,How many days of vacation do I have left?,pto_balance
4301,i need to know how many vacation days i have,मुझे यह जानना है कि मेरे पास कितने अवकाश दिन हैं,I want to know how many vacation days I have,pto_balance
4302,i want to know how much vacation time i can use,मैं जानना चाहता हूँ कि मैं अपनी छुट्टियों का कितना समय उपयोग कर सकता हूँ,I want to know how much time I can use on my vacation,pto_balance
4303,how many days of vacation do i have,मुझे कितने दिन की छुट्टी मिलेगी,How many days leave will I get,pto_balance
4304,how many days of vacation time do i have saved,मेरे पास कितने दिनों की छुट्टी बची है,how many days of vacation do I have left,pto_balance
4305,i've saved what number of days of vacation,मैंने कितने दिन की छुट्टियाँ बचा रखी हैं,How many days of vacation do I have saved?,pto_balance
4306,what is the saved vacation time i have left,मेरे पास बचा हुआ अवकाश समय क्या है,What vacation time do I have left?,pto_balance
4307,how many vacation days do i have saved up,मैंने कितने छुट्टियों के दिन बचाकर रखे हैं,How many vacation days do I have saved up,pto_balance
4308,how much paid time off have i earned to date,आज तक मैंने कितना सवेतन अवकाश अर्जित किया है,How much paid leave I have earned to date,pto_balance
4309,how many vacation days do i have to spend,मुझे कितने दिन की छुट्टियाँ बितानी होंगी,How many days of vacation do I need to take,pto_balance
4310,do i have any vacation days left,क्या मेरे पास कोई छुट्टी का दिन बचा है,do i have any vacation days left,pto_balance
4311,how many vacation days do i still get,मुझे अभी भी कितने दिन की छुट्टियाँ मिलेंगी,How many days of leave will I still get?,pto_balance
4312,do i have any remaining pto days,क्या मेरे पास कोई शेष पीटीओ दिन है,Do I have any remaining PTO days,pto_balance
4313,how much vacation am i currently entitled to,मैं वर्तमान में कितनी छुट्टी का हकदार हूँ,How much leave am I currently entitled to,pto_balance
4314,let me know the number of vacation days i have,मुझे बताएं कि मेरे पास कितने दिन की छुट्टियाँ हैं,Tell me how many days of leave I have,pto_balance
4315,how many vacation days have i accrued,मुझे कितने अवकाश दिन मिले हैं,how many vacation days do i get,pto_balance
4316,please tell me how many vacation days i currently have,कृपया मुझे बताएं कि वर्तमान में मेरे पास कितने अवकाश दिन हैं,Please tell me how many vacation days I currently have,pto_balance
4317,i want to know how many vacation days i have,मैं जानना चाहता हूँ कि मेरे पास कितने दिन की छुट्टियाँ हैं,I want to know how many days of leave I have,pto_balance
4318,how many of my vacation days do i have remaining,मेरी छुट्टियों के कितने दिन शेष हैं,How many days are left of my vacation,pto_balance
4319,tell me how many vacation days i have left,मुझे बताओ कि मेरे पास कितने दिन की छुट्टियाँ बची हैं,Tell me how many days of vacation I have left,pto_balance
4320,how many more vacation days do i have for the year,इस साल मुझे और कितने दिन की छुट्टियाँ मिलेंगी,How many more days of leave will I get this year?,pto_balance
4321,provide me the number of vacation days i have,मुझे छुट्टियों के दिनों की संख्या बताइए,Tell me the number of vacation days,pto_balance
4322,check how much pto i have left,जाँचें कि मेरे पास कितना पीटीओ बचा है,Check how much PTO I have left,pto_balance
4323,how many days do i have left of pto,मेरे पास पीटीओ के कितने दिन बचे हैं,How many days of PTO do I have left,pto_balance
4324,can you figure out how many vacation days i have left,क्या आप बता सकते हैं कि मेरे पास कितने दिन की छुट्टियाँ बची हैं?,Can you tell me how many days of vacation I have left?,pto_balance
4325,can you tell me the number of pto days i have left,क्या आप मुझे बता सकते हैं कि मेरे पास कितने पीटीओ दिन बचे हैं?,Can you tell me how many PTO days I have left?,pto_balance
4326,how many days off for vacation do i have left,मेरे पास कितने दिन की छुट्टी बची है,how many days of vacation do I have left,pto_balance
4327,what's the number of remaining vacation days i have,मेरे पास शेष छुट्टियों की संख्या क्या है,How much leave do I have left,pto_balance
4328,how many vacation days do i have left this year,इस साल मेरे पास कितने दिन की छुट्टियाँ बची हैं,How many days of vacation do I have left this year?,pto_balance
4329,"do i still have any pto days left, and if so, how many","क्या मेरे पास अभी भी कोई पीटीओ दिन बचा है, और यदि हाँ, तो कितने?","Do I still have any PTO days left, and if yes, how many?",pto_balance
4330,how much time do i have for vacation saved,मेरे पास छुट्टियों के लिए कितना समय बचा है,How much time do I have left for the holidays,pto_balance
4331,would you please tell me how many vacation days i have,कृपया मुझे बताएं कि मेरे पास कितने अवकाश दिन हैं,Please tell me how many vacation days I have,pto_balance
4332,how many vacation days do i still have,मेरे पास अभी कितने दिन की छुट्टियाँ हैं,How many days of vacation do I have right now?,pto_balance
4333,how many days for vacation do i have left,मेरे पास छुट्टी के लिए कितने दिन बचे हैं,How many days do I have left for vacation,pto_balance
4334,i'd like to know how many vacation days i have,मैं जानना चाहता हूँ कि मेरे पास कितने अवकाश दिन हैं,I want to know how many vacation days I have,pto_balance
4335,how many vacation hours have i accrued,मैंने कितने अवकाश घंटे अर्जित किए हैं,How many vacation hours have I earned,pto_balance
4336,what's the current count of my pto days,मेरे पीटीओ दिनों की वर्तमान गिनती क्या है,What is my current count of PTO days,pto_balance
4337,do i have any vacation time left,क्या मेरे पास कोई छुट्टी का समय बचा है,do I have any vacation time left,pto_balance
4338,do you know ho many vacation days i currently have,क्या आप जानते हैं कि इस समय मेरे पास कितने अवकाश दिन हैं?,Do you know how many vacation days I have at the moment?,pto_balance
4339,how many vacation days do i have for the year,मुझे साल में कितने दिन की छुट्टियाँ मिलेंगी,How many holidays do I get in a year?,pto_balance
4340,i have how many vacation days left,मेरे पास कितने छुट्टी के दिन बचे हैं,how many vacation days do I have left,pto_balance
4341,do i have any vacation days to use,क्या मेरे पास उपयोग करने के लिए कोई छुट्टी का दिन है,Do I have any vacation days to use?,pto_balance
4342,what number of vacation days remain for me,मेरे लिए कितने दिन की छुट्टियाँ बची हैं,How many days of vacation are left for me?,pto_balance
4343,what is my remaining pto days,मेरे शेष पीटीओ दिन क्या हैं,what are my remaining pto days,pto_balance
4344,do i have enough pto to take time off,क्या मेरे पास छुट्टी लेने के लिए पर्याप्त पीटीओ है,Do I have enough PTO to take the vacation,pto_balance
4345,how much pto do i have,मेरे पास कितना पीटीओ है,How much PTO do I have,pto_balance
4346,can you explain to me what type of vacation days i have still,क्या आप मुझे बता सकते हैं कि मेरे पास अभी भी किस प्रकार की छुट्टियाँ हैं?,Can you tell me what types of holidays I still have?,pto_balance
4347,check days of pto,पीटीओ के दिनों की जांच करें,Check PTO days,pto_balance
4348,would you provide the number of vacation days i have,क्या आप मुझे छुट्टियों के दिनों की संख्या बता सकते हैं?,Can you tell me the number of holiday days?,pto_balance
4349,can you tell me the remaining time i have for pto,क्या आप मुझे बता सकते हैं कि मेरे पास पीटीओ के लिए कितना समय बचा है?,Can you tell me how much PTO time I have left?,pto_balance
4350,"how would i say, 'i don't know the answer' in spanish","मैं स्पैनिश में कैसे कहूँगा, 'मुझे जवाब नहीं पता'","How do I say, 'I don't know the answer' in Spanish",translate
4351,"how do they say ""how's it going"" in swahili","स्वाहिली में ""कैसा चल रहा है"" कैसे कहते हैं","How to Say ""How's It Going"" in Swahili",translate
4352,how do i say you're welcome in chinese,मैं चीनी में आपका स्वागत कैसे कहूँ?,How do I say welcome in Chinese?,translate
4353,what is latin for i love you,लैटिन में आई लव यू का क्या मतलब है,what does i love you mean in latin,translate
4354,how do i say thank you in japanese,मैं जापानी में धन्यवाद कैसे कहूँ?,How do I say thank you in Japanese?,translate
4355,how would i say i love you if i were french,अगर मैं फ़्रांसिसी होता तो कैसे कहता कि मैं तुमसे प्यार करता हूँ?,How would I say I love you if I were French?,translate
4356,can you translate cat into russian for me,क्या आप मेरे लिए बिल्ली का रूसी भाषा में अनुवाद कर सकते हैं,can you translate cat into russian for me,translate
4357,how do you say i'm hungry in french,आप फ्रेंच में कैसे कहेंगे कि मैं भूखा हूँ,How do you say I'm hungry in French,translate
4358,how could i say twin in chinese,मैं चीनी में जुड़वाँ कैसे कह सकता हूँ?,How do I say twins in Chinese?,translate
4359,can you translate where's the bar into irish for me,क्या आप मेरे लिए where's the bar का आयरिश में अनुवाद कर सकते हैं?,Can you translate where's the bar into Irish for me?,translate
4360,i wanna know a phrase in spanish,मैं स्पैनिश में एक वाक्यांश जानना चाहता हूँ,I would like to know a phrase in Spanish,translate
4361,what words would i use to tell someone i am lost if i were japanese,अगर मैं जापानी होता तो किसी को यह बताने के लिए कौन से शब्द इस्तेमाल करता कि मैं खो गया हूँ?,"If I were Japanese, what words would I use to tell someone I was lost?",translate
4362,can you tell me how i would normally say thank you as a french person,क्या आप मुझे बता सकते हैं कि एक फ्रांसीसी व्यक्ति के रूप में मैं आमतौर पर कैसे धन्यवाद कहूंगा?,"Can you tell me how I, as a French person, would usually say thank you?",translate
4363,how do they say hello in brazil,ब्राज़ील में नमस्ते कैसे कहते हैं,How to say hello in Brazil,translate
4364,i wanna learn a phrase in russian,मैं रूसी भाषा में एक वाक्य सीखना चाहता हूँ,I want to learn a sentence in Russian,translate
4365,what do i say for goodbye in hawaii,मैं हवाई में अलविदा के लिए क्या कहूँ?,What do I say for goodbye in Hawaii?,translate
4366,can you translate good bye into russian for me,क्या आप मेरे लिए अलविदा का रूसी भाषा में अनुवाद कर सकते हैं,can you translate goodbye for me into russian,translate
4367,what is thank you in spanish,स्पैनिश में धन्यवाद क्या है,what is thank you in spanish,translate
4368,what is the way to say thank you in spanish,स्पैनिश में धन्यवाद कहने का तरीका क्या है?,What is the way to say thank you in Spanish?,translate
4369,translate hello in french,नमस्ते का फ्रेंच में अनुवाद करें,Translate hello to french,translate
4370,"can you tell me how to say 'i do not speak much spanish', in spanish",क्या आप मुझे बता सकते हैं कि 'मैं ज़्यादा स्पैनिश नहीं बोलता' को स्पैनिश में कैसे कहा जाता है?,Can you tell me how to say 'I don't speak much Spanish' in Spanish?,translate
4371,how does one say thank you in spanish,स्पैनिश में धन्यवाद कैसे कहते हैं?,How to say thank you in Spanish?,translate
4372,how do they say goodbye in hawaii,हवाई में अलविदा कैसे कहते हैं,How to say goodbye in Hawaii,translate
4373,what is spanish for hello,स्पैनिश में हेलो का क्या मतलब होता है?,What does hello mean in Spanish?,translate
4374,can you translate hello into swedish for me,क्या आप मेरे लिए हैलो का स्वीडिश में अनुवाद कर सकते हैं,can you translate hello into swedish for me,translate
4375,"how do they say ""i love you"" in japanese","जापानी में ""आई लव यू"" कैसे कहते हैं?","How to say ""I love you"" in Japanese?",translate
4376,what is the correct way to say 'i am a visitor' in french,फ्रेंच में 'मैं एक आगंतुक हूँ' कहने का सही तरीका क्या है?,What is the correct way to say 'I am a visitor' in French?,translate
4377,what is spanish for good morning,स्पेनिश में गुड मॉर्निंग क्या है?,What is good morning in Spanish?,translate
4378,how do they say hello in france,फ़्रांस में नमस्ते कैसे कहते हैं,how to say hello in france,translate
4379,translate hello english to french,नमस्ते का अंग्रेजी से फ्रेंच में अनुवाद करें,Translate Hello from English to French,translate
4380,how do they say yes in brazil,ब्राज़ील में हाँ कैसे कहते हैं,How to say yes in Brazil,translate
4381,how do vietnameses people say hello,वियतनामी लोग नमस्ते कैसे कहते हैं,How Vietnamese people say hello,translate
4382,what spanish word means hello,स्पैनिश शब्द का क्या अर्थ है नमस्ते,What does the Spanish word hello mean?,translate
4383,i would like to know how to say hello in french,मैं जानना चाहता हूँ कि फ्रेंच में नमस्ते कैसे कहा जाता है,I want to know how to say hello in French,translate
